invoiceno,invoice_date,customerid,country,total_revenue,is_return,year_month
536365,2010-12-01 08:26:00,17850.0,United Kingdom,139.12,False,2010-12
536366,2010-12-01 08:28:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536367,2010-12-01 08:34:00,13047.0,United Kingdom,278.73,False,2010-12
536368,2010-12-01 08:34:00,13047.0,United Kingdom,70.05000000000001,False,2010-12
536369,2010-12-01 08:35:00,13047.0,United Kingdom,17.85,False,2010-12
536370,2010-12-01 08:45:00,12583.0,France,855.86,False,2010-12
536371,2010-12-01 09:00:00,13748.0,United Kingdom,204.0,False,2010-12
536372,2010-12-01 09:01:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536373,2010-12-01 09:02:00,17850.0,United Kingdom,259.86,False,2010-12
536374,2010-12-01 09:09:00,15100.0,United Kingdom,350.4,False,2010-12
536375,2010-12-01 09:32:00,17850.0,United Kingdom,259.86,False,2010-12
536376,2010-12-01 09:32:00,15291.0,United Kingdom,328.8,False,2010-12
536377,2010-12-01 09:34:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536378,2010-12-01 09:37:00,14688.0,United Kingdom,444.98,False,2010-12
536380,2010-12-01 09:41:00,17809.0,United Kingdom,34.8,False,2010-12
536381,2010-12-01 09:41:00,15311.0,United Kingdom,449.98,False,2010-12
536382,2010-12-01 09:45:00,16098.0,United Kingdom,430.6,False,2010-12
536384,2010-12-01 09:53:00,18074.0,United Kingdom,489.6,False,2010-12
536385,2010-12-01 09:56:00,17420.0,United Kingdom,130.85,False,2010-12
536386,2010-12-01 09:57:00,16029.0,United Kingdom,508.20000000000005,False,2010-12
536387,2010-12-01 09:58:00,16029.0,United Kingdom,3193.92,False,2010-12
536388,2010-12-01 09:59:00,16250.0,United Kingdom,226.14,False,2010-12
536389,2010-12-01 10:03:00,12431.0,Australia,358.25,False,2010-12
536390,2010-12-01 10:19:00,17511.0,United Kingdom,1825.74,False,2010-12
536392,2010-12-01 10:29:00,13705.0,United Kingdom,318.14,False,2010-12
536393,2010-12-01 10:37:00,13747.0,United Kingdom,79.6,False,2010-12
536394,2010-12-01 10:39:00,13408.0,United Kingdom,1024.68,False,2010-12
536395,2010-12-01 10:47:00,13767.0,United Kingdom,507.88,False,2010-12
536396,2010-12-01 10:51:00,17850.0,United Kingdom,376.36,False,2010-12
536397,2010-12-01 10:51:00,17924.0,United Kingdom,279.0,False,2010-12
536398,2010-12-01 10:52:00,13448.0,United Kingdom,426.56,False,2010-12
536399,2010-12-01 10:52:00,17850.0,United Kingdom,22.200000000000003,False,2010-12
536400,2010-12-01 10:53:00,13448.0,United Kingdom,17.4,False,2010-12
